start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,user_language,consent,state,age,gender,education,ideology_general,household_size,sus_1,sus_2,sus_3,re_1,re_2,re_3,sev_1,sev_2,sev_3,se_1,se_2,se_3,mrr_1,mrr_2,mrr_3,rc_1,rc_2,rc_3,proto_caring,proto_informed,proto_dedicated,proto_pushy,proto_stubborn,proto_arrogant,proto_patriotic,proto_responsible,proto_similarity,willingness_1,willingness_2,att_1,att_2,att_3,att_4,att_5,att_6,sn_1,sn_2,sn_3,sn_4,sn_5,int_1,int_2,int_3,beh_1,beh_2,beh_3,feedback
2018-07-30 16:16:30,2018-07-30 16:19:55,0,100,205,1,2018-07-30 16:19:56,R_322xPOVIgWV4HQG,EN,1,54,30,1,5,6,2,4,2,4,2,3,2,3,2,4,3,2,3,3,3,2,2,2,2,NA,NA,1,NA,NA,1,NA,1,2,1,1,3,3,3,2,3,2,3,3,4,3,3,4,4,4,11,11,NA,NA
2018-07-30 16:16:22,2018-07-30 16:20:32,0,100,249,1,2018-07-30 16:20:32,R_3CZP4gPgZseatkz,EN,1,33,24,1,2,5,2,2,4,3,3,2,2,2,2,3,2,4,3,4,4,3,4,3,4,1,1,1,NA,NA,NA,NA,1,2,4,2,2,4,2,2,4,2,2,2,2,5,5,2,2,2,11,11,NA,NA
2018-07-30 16:16:38,2018-07-30 16:21:04,0,100,266,1,2018-07-30 16:21:05,R_2Vygs8yZRsvyuMI,EN,1,43,25,1,5,8,3,3,2,1,3,2,3,2,2,1,1,3,2,2,2,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,5,4,5,4,2,3,1,2,3,4,2,2,3,10,10,10,GOOD
2018-07-30 16:16:34,2018-07-30 16:22:02,0,100,328,1,2018-07-30 16:22:03,R_vDgeDWHsFlUu1xL,EN,1,15,21,1,5,4,4,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,1,5,5,4,1,4,5,1,5,1,2,2,1,1,2,1,2,1,10,11,NA,NO
2018-07-30 16:16:29,2018-07-30 16:36:34,0,100,1205,1,2018-07-30 16:36:35,R_31hZWpBSKk2o1V9,EN,1,43,41,1,2,0,2,5,3,5,1,1,1,2,2,3,5,1,4,4,3,1,5,2,1,1,1,1,NA,NA,NA,NA,1,5,5,2,1,5,1,1,5,1,1,1,1,5,5,1,1,1,11,11,NA,NA
2018-07-30 16:51:26,2018-07-30 16:55:48,0,100,261,1,2018-07-30 16:55:48,R_1pDKRi2uGcNQCGf,EN,1,26,25,1,3,3,1,1,5,1,1,1,1,1,1,1,2,2,4,2,2,3,2,1,2,NA,1,NA,NA,NA,NA,NA,1,4,2,4,1,5,1,1,5,1,2,2,2,4,4,2,2,2,11,11,NA,Thank you!
2018-07-30 16:51:40,2018-07-30 16:57:03,0,100,323,1,2018-07-30 16:57:03,R_1lgA8sTBfYZDCsE,EN,1,54,29,2,5,9,3,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,5,5,4,2,4,3,2,5,2,1,1,1,2,1,1,1,1,10,10,10,good
2018-07-30 16:51:46,2018-07-30 16:57:31,0,100,344,1,2018-07-30 16:57:31,R_7OJjiuSqSHNGQYF,EN,1,54,27,2,5,10,4,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,1,1,1,5,5,2,3,5,5,2,5,1,1,1,2,2,1,1,1,1,10,10,7,good
2018-07-30 16:52:05,2018-07-30 16:58:59,0,100,413,1,2018-07-30 16:59:00,R_1H5GGoVy3HOWsoG,EN,1,12,32,2,5,2,3,1,5,1,2,2,2,2,2,2,2,5,1,1,2,2,4,3,4,1,1,1,NA,NA,NA,NA,1,4,3,2,1,5,1,1,5,1,1,1,1,2,1,2,2,2,11,10,10,none
2018-07-30 16:51:26,2018-07-30 17:01:01,0,100,574,1,2018-07-30 17:01:01,R_1MJUK7VjordpbLX,EN,1,54,31,1,5,8,3,2,2,2,1,2,2,2,2,1,2,4,1,2,2,3,4,2,3,NA,NA,NA,NA,1,NA,NA,NA,2,5,4,1,2,1,2,5,1,1,1,1,2,2,2,2,2,10,10,5,NA
2018-07-30 16:51:24,2018-07-30 17:03:34,0,100,730,1,2018-07-30 17:03:34,R_2Soz9PKJu851wHO,EN,1,54,29,2,5,7,4,1,1,2,2,1,2,2,1,2,3,1,2,2,1,2,1,2,1,1,NA,1,NA,NA,1,1,1,4,3,4,2,2,2,2,3,3,2,1,3,2,2,1,2,2,10,10,10,good survey
2018-07-30 16:51:33,2018-07-30 17:05:50,0,100,857,1,2018-07-30 17:05:51,R_2ByfibrBQS6ayU0,EN,1,15,39,1,3,5,2,1,5,1,1,1,1,1,1,1,2,4,2,5,5,3,4,3,4,1,1,NA,NA,NA,NA,NA,1,3,3,3,2,4,2,2,4,2,1,1,1,3,3,2,2,2,12,11,NA,"Thank you very much for this HIT, and best of luck with your research"
2018-07-30 17:23:28,2018-07-30 17:29:09,0,100,340,1,2018-07-30 17:29:10,R_1EhDQeU2uOpxt53,EN,1,20,24,1,5,4,4,2,3,3,3,3,3,1,2,3,3,3,3,3,5,3,5,3,3,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,2,3,2,3,4,1,3,2,2,3,3,3,3,3,12,11,NA,NA
2018-07-30 17:24:11,2018-07-30 17:31:14,0,100,423,1,2018-07-30 17:31:15,R_ykl0CKpg0oXW5uF,EN,1,54,22,1,3,5,2,2,4,2,2,2,2,2,3,2,2,2,4,5,5,2,2,2,2,1,1,NA,NA,NA,NA,NA,1,2,1,5,3,3,2,2,4,2,3,3,3,5,5,4,4,4,11,11,NA,NA
2018-07-30 17:29:30,2018-07-30 17:34:45,0,100,315,1,2018-07-30 17:34:46,R_1DwfFCL1BQ10iQ3,EN,1,54,35,1,6,9,4,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,3,1,1,1,NA,1,NA,NA,NA,NA,NA,2,5,4,2,5,5,4,5,1,1,1,1,1,2,1,1,2,10,10,10,very nice
2018-07-30 17:23:41,2018-07-30 17:37:21,0,100,819,1,2018-07-30 17:37:22,R_1H7dDdeN8LANZLW,EN,1,54,61,2,5,8,4,1,3,2,2,2,2,2,3,2,2,3,1,1,2,2,1,3,2,NA,NA,1,NA,NA,NA,1,NA,2,4,3,2,5,4,2,5,3,1,2,2,1,2,1,3,2,10,10,10,This is nice survey.
2018-07-30 17:28:30,2018-07-30 17:44:32,0,100,962,1,2018-07-30 17:44:33,R_3Oq66L6UxOCRE3V,EN,1,49,61,2,4,0,2,2,5,2,2,2,2,2,2,2,5,1,5,5,5,2,4,2,2,1,1,NA,NA,NA,NA,NA,1,4,4,2,1,5,1,1,5,1,1,4,1,5,5,4,4,4,11,11,NA,I live in a state where coal burning is still the norm.
2018-07-30 17:36:38,2018-07-30 17:44:53,0,100,494,1,2018-07-30 17:44:53,R_1M6P1YQsM3GVUEa,EN,1,54,35,2,5,8,4,2,3,2,3,2,3,2,2,2,2,3,2,2,2,3,3,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,4,4,3,2,4,3,4,2,2,1,2,2,2,2,2,1,10,10,7,NA
2018-07-30 17:46:17,2018-07-30 17:49:00,0,100,163,1,2018-07-30 17:49:02,R_3dELXbK8mXi63h9,EN,1,43,24,1,5,7,3,1,2,1,3,2,3,3,3,2,2,2,2,3,4,3,4,3,2,1,NA,1,1,1,NA,1,1,2,3,3,3,2,4,2,4,4,3,3,1,3,2,5,3,3,11,11,NA,great
2018-07-30 17:56:38,2018-07-30 18:00:26,0,100,228,1,2018-07-30 18:00:27,R_1LvrFsrNRgQ8Qgd,EN,1,13,29,2,4,0,2,1,5,1,2,2,2,1,1,1,4,2,2,5,5,5,2,4,4,1,1,1,NA,NA,NA,NA,1,3,5,1,1,5,1,1,5,1,1,1,1,4,4,1,1,1,11,11,NA,NA
2018-07-30 17:56:34,2018-07-30 18:00:59,0,100,264,1,2018-07-30 18:01:00,R_3DcOr5Ffow0bVeK,EN,1,54,27,1,5,8,4,2,1,3,5,3,4,5,1,1,1,2,2,1,2,1,1,2,3,NA,NA,NA,1,NA,1,NA,1,3,4,5,5,4,5,5,3,4,2,1,2,1,2,1,2,2,10,10,10,good and nice
2018-07-30 17:58:20,2018-07-30 18:01:15,0,100,175,1,2018-07-30 18:01:16,R_2BgNCidfo8bWrzm,EN,1,48,26,1,4,7,3,2,3,4,2,4,4,4,2,4,4,2,4,4,3,4,3,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,4,2,4,3,3,4,2,4,3,2,4,3,4,4,3,11,11,NA,NA
2018-07-30 17:56:46,2018-07-30 18:03:18,0,100,391,1,2018-07-30 18:03:19,R_2AR4S0N28TWy0F0,EN,1,54,35,2,6,7,5,2,3,3,3,2,4,3,4,3,1,3,2,3,3,2,1,3,2,1,1,NA,NA,1,NA,NA,NA,3,3,3,3,4,4,3,4,4,2,3,2,2,3,2,3,2,10,10,7,NA
2018-07-30 17:58:23,2018-07-30 18:03:21,0,100,297,1,2018-07-30 18:03:22,R_1dpkt7j7vIyeX28,EN,1,15,58,1,5,8,4,1,1,1,2,1,1,3,2,2,2,2,2,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,4,4,4,4,4,2,2,2,2,1,1,1,1,10,10,10,"In short, a green superfood powder contain many servings of vegetables and superfoods in a scoop of water-soluble powder. In addition to veggies and superfoods, the powder may also contain other health-supporting ingredients like probiotics and immune-supporting herbs."
2018-07-30 18:00:47,2018-07-30 18:05:35,0,100,288,1,2018-07-30 18:05:35,R_3fJ17JyIXig3sXF,EN,1,54,27,1,6,9,4,1,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,NA,1,NA,NA,NA,NA,1,3,4,4,3,4,3,3,4,3,1,1,1,1,2,2,1,1,10,10,10,nice
2018-07-30 18:00:02,2018-07-30 18:06:49,0,100,407,1,2018-07-30 18:06:50,R_5tDIdz9sPFJSRAl,EN,1,29,46,2,3,9,4,4,1,4,2,2,2,4,4,4,4,2,4,5,4,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,1,1,5,1,3,3,3,5,5,4,4,5,11,11,NA,I think using green power whenever available is a great way to go. However at this time I cannot afford the necessary changes to be able to do so.
2018-07-30 18:05:06,2018-07-30 18:10:15,0,100,309,1,2018-07-30 18:10:16,R_d58L4o1XGd4uGNH,EN,1,15,28,1,5,8,4,3,2,2,2,2,1,2,2,2,2,4,2,1,2,2,4,4,3,1,NA,1,NA,NA,NA,NA,NA,4,4,4,1,4,3,1,5,2,2,1,2,1,1,2,1,2,11,10,10,none
2018-07-30 18:05:13,2018-07-30 18:14:42,0,100,568,1,2018-07-30 18:14:42,R_3eqbBWkoQBrEOUQ,EN,1,15,27,2,6,8,5,4,3,4,3,2,3,2,3,3,2,4,2,3,2,3,2,2,2,1,1,1,NA,NA,NA,NA,1,4,4,4,2,4,2,2,4,2,2,2,2,2,2,2,2,2,10,10,7,green power is very important to all of us.
2018-07-30 18:31:27,2018-07-30 18:34:09,0,100,162,1,2018-07-30 18:34:10,R_3jV6yLGbysZUSgp,EN,1,54,69,1,5,8,15,2,3,2,2,2,1,2,3,2,2,3,2,3,2,3,2,2,2,NA,1,1,NA,1,1,1,1,2,4,3,4,4,4,3,3,3,2,2,3,2,2,2,2,2,10,10,10,NA
2018-07-30 18:31:26,2018-07-30 18:41:03,0,100,576,1,2018-07-30 18:41:03,R_CgeoiufKGsKQZxL,EN,1,49,25,2,5,9,3,3,3,2,3,2,2,3,3,4,1,3,2,3,3,3,3,2,3,NA,NA,1,NA,NA,NA,NA,NA,4,4,4,1,5,2,2,5,1,3,2,1,2,2,2,1,2,10,10,10,IT WAS GOOD
